movie_no,movie_name,movie_year,movie_certificate,movie_runtime,movie_genre,movie_score,movie_gross,movie_director,movie_star,movie_writer,tomatoter,audience
1916,Sin Alas,2015,NR,90 minutes,"Art House & International, Drama",,,Ben Chace,"Carlos Padron, Mario Limonta, Yulisleyvís Rodrigues, Lieter Ledesma Alberto, Veronica Lynn, Adael Rosales",Ben Chace,70%,100%
1917,The DUFF,2015,PG-13,100 minutes,Comedy,,"$30,777,437",,,,71%,66%
1918,Come Back To Me,2014,R,96 minutes,"Horror, Mystery & Suspense",,"$4,156",Paul Leyden,"Caroline Clements, Katie Walder, Laura Gordon, Matt Passmore, Jon Abrahams, Nathan Keyes, Andrew Beckham, Maura West",Paul Leyden,17%,36%
1919,Freezer,2014,R,82 minutes,"Action & Adventure, Mystery & Suspense",,,Michael Salomon,"Dylan McDermott, Peter Facinelli, Yuliya Snigir, Pascal Petardi, Andrey Ivchenko, Markus Parillo, Markus Parilo, David McNally, Milan Malisic","Tom Doganoglu, Shane Weisfeld",33%,27%
1920,12 O'clock Boys,2014,NR,76 minutes,"Documentary, Special Interest",,"$44,108",Lotfy Nathan,"Steven ""AkA Moe""",Lotfy Nathan,91%,65%
1921,The Other Woman,2014,PG-13,107 minutes,Comedy,,"$77,860,761",Nick Cassavetes,"Cameron Diaz, Leslie Mann, Kate Upton, Nikolaj Coster-Waldau, Nicki Minaj, Taylor Kinney, Don Johnson, Kenneth Maharaj, Alyshia Ochse, Víctor Cruz, Madison McKinley, David Thornton, Olivia Culpo, John ""B.J."" Bryant, Chelsea Turnbo, Brooke Stacy Mills, Raushanna Simmons, Cheryl Horne, Virginia Cassavetes, Nancy DeMayo, Nina Barry, Colin Bannon, Zac LaRoc, Jennifer Lee Crowl, Katherine Andreassen, Daniel Reton, Tony Costa, Alex Stebbins, Yueh Hwa Chan, Meki Saldana, Craig ""Radioman"" Castaldo, Sarah Tymon, Jude Donnelly, Gordon B. Andrews, Cucu Diamantes, Andrés Levin",Melissa Stack,25%,57%
1922,A Case of You,2013,R,91 minutes,"Comedy, Romance",,,Kat Coiro,"Justin Long, Evan Rachel Wood, Keir O'Donnell, Sam Rockwell, Peter Dinklage, Brendan Fraser, Busy Philipps, Sienna Miller, Vince Vaughn, Gideon Glick, Mizuo Peck, Adam Johnson, Jee Young Han, Jenn Harris, Demosthenes Chrysan, Lynn Cohen, David Margulies, Tom Morrissey, Priscilla Lopez, Emilio Delgado, Danielle Quisenberry, Savannah Wise, Nick Fondulis, Charlotte Kendrick, Laura Jordan, Peter Billingsley, Scott Adsit, Manny Siverio, Devin Flores","Justin Long, Christian Long, Keir O'Donnell",47%,26%
1923,Justice League: Throne Of Atlantis,2014,PG-13,72 minutes,"Action & Adventure, Animation",,,Ethan Spaulding,"Sean Astin, Steve Blum, Rosario Dawson, Nathan Fillion, Christopher Gorham, Matt Lanter, Jason O'Mara, Shemar Moore, Jerry O'Connell, Sumalee Montano, Sirena Irwin, Harry Lennix, Sam Witwer",Heath Corson,40%,63%
1924,Dior and I,2015,R,90 minutes,"Documentary, Special Interest",,,Frederic Tcheng,"Omar Berrada, Jennifer Lawrence, Marion Cotillard, Anna Wintour",Frederic Tcheng,83%,76%
1925,Partisan,2015,NR,98 minutes,"Drama, Mystery & Suspense",,,Ariel Kleiman,"Vincent Cassel, Jeremy Chabriel, Samuel Eydlish, Sapidah Kian, Florence Mezzara","Sarah Cyngler, Ariel Kleiman",57%,38%
1926,Extraterrestrial,2014,NR,107 minutes,"Horror, Science Fiction & Fantasy",,,Colin Minihan,"Brittany Allen, Anja Savcic, Freddie Stroma, Jesse Moss, Gil Bellows, Melanie Papalia, Michael Ironside",,31%,26%
1927,Fort Bliss,2014,NR,109 minutes,Drama,,,Claudia Myers,"Michelle Monaghan, Ron Livingston, Manolo Cardona, Emmanuelle Chriqui, Gbenga Akinnagbe, Freddy Rodriguez, Pablo Schreiber, John Savage, Dash Mihok, Oakes Fegley, Michael Sirow, Drew Garrett, Luis Bordonada, Fahim Fazli, Jacob Browne, Richard White, Travis Wilson, Nathan Buck, William Osbourne, Juan Pareja, Alesa DePersia, Pam Trotter, Nuria Aparicio, Brie Cubelic, Kyle Butler, Brian Ceely, Raymond Segura, Phillip Marshall Tyler, Andres Perez-Molina, Kelly McCargo, Andrew Mazeika, Arlyn Mendendorp, Indrani Rauth, Joseph Buccino, Edmund J. Curry, Nicholas A. Bamper, Octavio Collazo, Daryl Stevens, Ellen Guffey, Joseph Barone, Arturo Salas, Leo Garcia, Arnie Barrera, Luca Pedroni, Addison Ozols, Strider Ellis, Tree O'Toole",Claudia Myers,80%,68%
1928,The Unspoken,2016,NR,90 minutes,"Horror, Mystery & Suspense",,,Sheldon Wilson,"Jodelle Ferland, Neal McDonough, Sunny Suljic, Matt Bellefleur, Rukiya Bernard, Jessie Fraser, Lochlyn Munro, Jonathan Whitesell, Pascale Hutton, Anthony Konechny, Jake Croker, Chanelle Peloso, Michael Rogers, Cole Vigue, Chilton Crane, Fulvio Cecere, Trevor Carroll",Sheldon Wilson,0%,34%
1929,The Survivalist,2017,NR,104 minutes,"Art House & International, Drama, Mystery & Suspense, Science Fiction & Fantasy",,,Stephen Fingleton,"Martin McCann, Mia Goth, Olwen Fouere, Douglas Russell, Ryan McParland",Stephen Fingleton,97%,65%
